id,SERP,URLs,URLs_cleaned
1,https://support.google.com/websearch/answer/181196?hl=es,None,None
2,https://www.google.com/webhp?hl=es&sa=X&ved=0ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQPAgI,None,None
3,https://support.google.com/websearch/answer/106230?hl=es,None,None
4,https://accounts.google.com/ServiceLogin?hl=es&passive=true&continue=https://www.google.com/search%3Fq%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b%26source%3Dhp%26ei%3DhhoMZ8bYOqeskdUPneuu4AE%26iflsig%3DAL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c%26ved%3D0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8%26uact%3D5%26oq%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26gs_lp%3DEgdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM%26sclient%3Dgws-wiz&ec=GAZAAQ,None,None
5,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&udm=2&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQtKgLegQIGhAB,None,None
6,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&udm=1&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQs6gLegQIGRAB,None,None
7,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&udm=11&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQs6gLegQIDxAB,None,None
8,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&tbm=vid&source=lnms&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ0pQJegQIEhAB,None,None
9,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&tbm=nws&source=lnms&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ0pQJegQIExAB,None,None
10,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&udm=14&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQs6gLegQIFBAB,None,None
